0.010000	1.020000
0.020000	1.040404
0.030000	1.061228
0.040000	1.082489
0.050000	1.104206
0.060000	1.126397
0.070000	1.149081
0.080000	1.172280
0.090000	1.196015
0.100000	1.220309
0.110000	1.245187
0.120000	1.270675
0.130000	1.296799
0.140000	1.323589
0.150000	1.351074
0.160000	1.379287
0.170000	1.408262
0.180000	1.438036
0.190000	1.468647
0.200000	1.500136
0.210000	1.532547
0.220000	1.565928
0.230000	1.600328
0.240000	1.635800
0.250000	1.672402
0.260000	1.710195
0.270000	1.749246
0.280000	1.789625
0.290000	1.831409
0.300000	1.874680
0.310000	1.919526
0.320000	1.966044
0.330000	2.014338
0.340000	2.064521
0.350000	2.116714
0.360000	2.171053
0.370000	2.227681
0.380000	2.286758
0.390000	2.348457
0.400000	2.412970
0.410000	2.480505
0.420000	2.551293
0.430000	2.625589
0.440000	2.703674
0.450000	2.785861
0.460000	2.872498
0.470000	2.963972
0.480000	3.060718
0.490000	3.163221
0.500000	3.272031
0.510000	3.387766
0.520000	3.511130
0.530000	3.642921
0.540000	3.784055
0.550000	3.935582
0.560000	4.098714
0.570000	4.274857
0.580000	4.465650
0.590000	4.673016
0.600000	4.899227
0.610000	5.146981
0.620000	5.419512
0.630000	5.720723
0.640000	6.055368
0.650000	6.429297
0.660000	6.849780
0.670000	7.325967
0.680000	7.869521
0.690000	8.495530
0.700000	9.223840
0.710000	10.081053
0.720000	11.103597
0.730000	12.342605
0.740000	13.871952
0.750000	15.802044
0.760000	18.304700
0.770000	21.660756
0.780000	26.357893
0.790000	33.310348
0.800000	44.411021
0.810000	64.139095
0.820000	105.281817
0.830000	216.128708
0.840000	683.248965
0.850000	5351.544305
0.860000	291741.812472
0.870000	851424593.259172
0.880000	7249239231490055.000000
0.890000	525514694353752463803187986432.000000
0.900000	2761656939817178601235442085571984142372539580622804353024.000000
0.910000	76267490532403831911080345595118357078938240990133361703984784232793036173539603454643894144816330376919239360512.000000
0.920000	58167301121103079082565948264194960457139501937947276189100450893915273257832710024900178453322331959014268247946080837348320359019160217064875686042845566897858754884867463774236387948135052801412348830747524455812030267392.000000
0.930000	inf
0.940000	inf
0.950000	inf
0.960000	inf
0.970000	inf
0.980000	inf
0.990000	inf
1.000000	inf
